UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
296,45514,"Northern Ireland, United Kingdom",12-03-2020,"The person in front of me in the supermarket queue just said: youve more chance of catching HIV. 
#cornoravirusuk #CoronavirusPandemic #CoronaVirusUpdate 
#Covid_19 https://t.co/MearYd2USx",Positive
297,45515,Philadelphia,12-03-2020,"Waking up a #healthconsumer in the #COVID_19 era https://t.co/Yj2YPsCKHT Listening to @POTUS last night the morning after, thinking #healthcare costs of #coronavirustesting, @nielsen on ""pandemic pantries,"" &amp; @modrnhealthcr lens on US #hospitals managing pt care #selfcare #hcldr https://t.co/ZjbsWGXCvV",Positive
298,45517,"Reading, PA",12-03-2020,"@colemank83 offered our employees an advance on their pay checks to stock up on food for #coronavirus. I haven't seen that suggested anywhere and thought I'd share. Some people may not be able to afford to ""stock up"".",Positive
299,45519,"iPhone: 38.855085,-77.042889",12-03-2020,"plant-based foods have longer shelf lives, ""alternative"" protein companies seeing spikes in demand, and other weird #coronavirus effects on smart food cos https://t.co/vDWth1nnz3",Positive
300,45520,"Richardson, TX",12-03-2020,"This is good news for control of COVID-19, but this will create an incredible strain on resources for families without sick leave and food-insecure children. Contact your legislators TODAY to demand assistance for these families. @JohnCornyn @tedcruz @jeffleach @AngelaPaxtonTX https://t.co/qxYJQzgaCS",Positive
301,45522,"Kentucky, USA",12-03-2020,Are there any plans to allow SNAP recipients to receive benefits early in order to purchase food to stock up in advance of any potential quarantines? #COVID19 #Coronavirus  @GovAndyBeshear @USDA,Positive
302,45523,"Dublin , Ireland",12-03-2020,Why did everyone descend on the supermarkets today like they were on Supermarket Sweep ?? #Covid_19 #Dunnes #Tesco #lidl #aldi https://t.co/EE3whhGP4S,Positive
303,45524,Planet Earth (I think!),12-03-2020,To all corporations who are skyrocketing their prices for vital items during this pandemic...may you all burn! 9 for 4 masks that 3 months ago cost me 1 is obscene. #Covid_19,Negative
304,45525,"Hoover, AL",12-03-2020,"I live in the reddest state in the union. Full of people saying its no big deal or a hoax. And yet when I go to the grocery store, there is no toilet paper or soap and hand sanitizer. Actions speak louder than words #coronavirus",Negative
305,45527,"St. Louis, MO",12-03-2020,"Need medical advice:  What's safer, 1) Going to a packed grocery store and being near ~300ppl for 30mins, or 2) Staying home and only interacting with Postmates drivers, once a day, every day, for the next two weeks? #CoronavirusPandemic #Covid_19",Positive
306,45529,,12-03-2020,When you are told to stock up on toilet paper to prepare for the #Covid_19 virus but you forget to stock up on food too https://t.co/Pe4A3zT436,Negative
307,45530,,12-03-2020,"I was walking down the street by a grocery store, and an old couple pulled up and asked me to buy their groceries because they were rightly afraid of #Covid_19 

So I took their money and left because I wanted to teach them to never trust a millenial. https://t.co/qu37WcNIf7",Negative
308,45532,"San Francisco, CA",12-03-2020,"Due to the #coronavirus...
- All paid and in-store services at @Sephora are suspended. 
- Retail workers are encouraging customers to not try on Apple Watches and AirPods 
- @Starbucks is modifying its store features including limited seating
https://t.co/BVLUxb4Euj",Negative
309,45534,"England, United Kingdom",12-03-2020,"Was at my till and a customer saw the bottle of sanitiser that work put on the till for the staff and said ""How come YOU have some when there's none in the store?!"" So they want #Retail staff to get ill so long as they have sanitiser #coronavirus",Negative
310,45539,London,12-03-2020,"There is a lot of stress out there.
As I discovered popping out for a pint of milk from the local supermarket

#Covid_19 #COVID19 #COVID?19 #CoronavirusPandemic #CoronaVirusUpdate #coronavirus #BREAKING #breakingnews",Negative
311,45540,"Toronto,Canada",12-03-2020,"Judging by the supermarket shelves across a lot of countries..........it looks like last months #bekind has been replaced by ""fuck everybody else""

#keyboardwarriors
#bekind #fuckeverybodyelse
#Covid_19",Negative
312,45541,Lives in a kakistocracy/Éire ,12-03-2020,"Nothing like a panic in the supermarket. My lord worlds gone mad #CancelEverything 
#Covid_19 #dunnes https://t.co/Tls7GfBdlM",Negative
313,45544,,12-03-2020,This would kill the virus without impacting the economy as economy pretty much on pause. Rationing stock piles food would surely be feasible for two weeks #Covid_19,Positive
314,45545,"Clunes, Clunes (Vic.)",12-03-2020,"Another day, another supermarket shelf cleared out of toilet paper. #Covid_19 #Coles #Wendouree https://t.co/11cmHOKTyZ",Positive
315,45546,Panama,12-03-2020,"?? Israeli police is screening people before entering into supermarkets. Israelis started to panic buy food. 

#Israel  #Covid_19  #pandenic https://t.co/EagFghS2dN",Negative
316,45547,"Idaho, USA",12-03-2020,"@RepDougCollins @realDonaldTrump @POTUS Quit throwing money at the stock market and use those dollars to take care of actual people: more testing; sick leave, free testing, food assistance for those self-quarantining or ill.
#coronavirus
#gopshouldast",Negative
317,45549,,12-03-2020,"Don't get caught in quarantine without emergenchy food and supplies. Stock up on these #CoronavirusPandemic essentials:

&gt;&gt; https://t.co/QELo4Ww0AX

#ThursdayMotivation #thursdaymorning #thursdayvibes #coronavirus #COVID19",Positive
318,45551,"California, USA",12-03-2020,My region has gone into absolute panic mode #CoronavirusPandemic Make sure youre stocked up on food because the shelves are clearing out fast! #Covid_19 #COVD19 #CoronaOutbreak,Negative
319,45552,,12-03-2020,"Preparing for #coronavirus  spreading
?Vit C : boost up immunity bef infected
?Food: as seen in China. Ppl're panic for sure but at last food is enough. 
?Personal Medicine: for avoiding to  go to ?
?Netflix

#COVID19 #Covid_19 #CoronaOutbreak #lockdown #CoronavirusPandemic https://t.co/JjNsQKQZ0L",Negative
320,45553,"Houston, TX",12-03-2020,Consumer expert Amy Davis is explaining your chances of getting your money back if you decide not to keep your plans due to coronavirus concerns. https://t.co/bbwTDbO7n8 #kprc2 #click2houston #coronavirus https://t.co/yAETit2LRn,Positive
321,45554,"Zaria, Nigeria",12-03-2020,"#Covid_19 is pandemic, in Nigeria, the economy is heading for a crash. Solution - Nigerians should brace up for tough times. Ruling elites continue their profligacy. And we pray for higher oil prices. Shikenan.",Positive
322,45556,"Topeka, KS",12-03-2020,"6. How can you prevent catching #coronavirus? 

?? Wash your hands.
?? Cover your coughs.
?? If you're an older Kansan, consider delaying any vacations and limit trips to the grocery store or public spaces.
?? Stay home if you're sick.",Negative
323,45557,"Leicester, England",12-03-2020,"Shops have now sold out of nappies and baby food!  Seriously, why are people stock piling nappies and baby food?? #Covid_19 #completemuppetts",Negative
324,45559,"Oslo, Norway",12-03-2020,"My approach to the covid-19 lockdown in Norway is a bit different than everyone else's apparently. They're stocking up on food. 
I bought paint and went to the library to stock up on books for the kids. Sadly, the library had also closed down due to #coronavirus.",Negative
325,45560,Ledbury,12-03-2020,so is this #coronavirus a serious thing now? ? cause I need to know if I need to stock up on food ?????,Negative
326,45563,,12-03-2020,"Dont underestimate role of nurses &amp; their impact on delaying #Covid_19 even outside of the healthcare setting - my nurse mom (@My4daughtersSue) is out here eavesdropping in the grocery store, the roofers at her house, etc and dispelling rumors #Nurses2020 #CoronavirusPandemic",Negative
327,45565,Keswick 017687 80794,12-03-2020,"If your concerned about the virus heres a little thought - 

when your in your local supermarket(or large outdoor shop ) were they serve hundreds if not thousands of customers a day the odds of coming into contact with someone who has it are far greater #ShopSmall
 #Covid_19",Positive
328,45566,,12-03-2020,"Italians are really struggling with #Covid_19 outbreak, only the smooth penne is left on supermarket shelves ? https://t.co/gHq1SH7IcL",Negative
329,45568,Portland Oregon,12-03-2020,Check out my latest blog about how our work place is changing it also includes lots of Home decor Tips &amp; Tricks &amp; Resources! https://t.co/dLxXSSZ5ar https://t.co/Gs8lW4PmuI,Negative
330,45570,,12-03-2020,"Corona ? sales have dropped 30% since the outbreak of covid-19. Many people wont eat Chinese food because the virus originated in China. If you financially can, go out and purchase those items to support especially local ppl, or just buy stock since its so low right now too.",Positive
331,45571,North Islander,12-03-2020,"Supermarket was unusually busy last night... Manager said people are taking advantage of the ""space"". Probably as a precautionary measure.
#Covid_19",Positive
332,45574,,12-03-2020,"Sri Lankans: Let me panic stockpile groceries at the supermarket because of the #coronavirus
Also Sri Lankans: Let's go to the big match #COVID19 #Covid_19 #lka",Negative
333,45575,United States,12-03-2020,"Its begun. Supermarket packed, shelves emptying: no toilet roll, alcohol or hand sanitizer.
This is the third week Ive bought heavy so I think Ill be all right but tough to tell with so many still in denial #Covid_19 #Vermont",Negative
334,45577,,12-03-2020,"Fourth supermarket my partner and I tried today. #Notoiletpaper 

Sadly, I could really do with some now ??

#Covid_19 #COVID2019uk #COVID19 https://t.co/dnmBJcAkPF",Negative
335,45578,"Los Angeles County, CA",12-03-2020,"We're here to help answer your #consumer questions on many topics including: #PriceGouging, #travel insurance, and #scams. 

Call us at (800) 593-822 or visit our website for more info: https://t.co/5vMplCckWY 

#Coronavirus #COVID19 https://t.co/Rs91w043PX",Positive
336,45580,CA,12-03-2020,with this #coronavirus i be tellin my mom to stock up on canned food meanwhile she outhere sayin we still got food at home  got the whole fridgerator lookin like this https://t.co/0WQRaNOqXL,Positive
337,45582,World,12-03-2020,"@SkyNews @BorisJohnson If you are at home do online shopping what you need, Ring to Dr where ever you will what. If need any medication order online. If you are wrong with payment ring to government, social protection. #Covid_19",Negative
338,45584,Canada - Town & Country ,12-03-2020,"Whenever $2000 prepper food kits are out of stock at Costco, I start to get worried. #Covid_19",Negative
339,45587,Fun City,12-03-2020,"@realDonaldTrump @senatemajldr Dear Leader, great job with your speech last night- my supermarket has no toilet paper this morning. Seriously. No toilet paper.  #RepublicanDumFuks #Covid_19",Positive
340,45588,United States,12-03-2020,We have to take care of each other. If you are younger/healthy and have family or neighbors who are in high risk categories for death caused by #COVID2019 call them and see if they need to stock up on food or other items. We need to do our part to care for our communities.,Positive
341,45589,"New York City, New York",12-03-2020,"Unusually long lines in my neighborhood supermarket in New Hyde Park, NY for a Thursday night. It appears people are panic buying. 
I see fully loaded grocery carts lined up! Whats going on? #Covid_19 #pandemic https://t.co/1IQ4czjTbB",Negative
342,45590,"London, England",12-03-2020,"@EU_Consumer @EurostarUK @Eurostar @WHO @EU_Commission However, in the case of #Eurostar , there is no #flexibility since a #monopoly exists. The @WHO declared this a pandemic, yet #eurostar expects you to travel as normal conditions of carriage apply. I ",Negative
343,45592,??Brighton/London ??LA/NY,12-03-2020,"The World Health Organization has announced that dogs cannot contract Covid-19. Dogs previously held in quarantine can now be released. To be clear, WHO let the dogs out.",Positive
344,45593,Florida,12-03-2020,"Well folks, sellers on Ebay are starting to gouge prices for hand sanitizer. I just snapped these 2 products as examples. Contact Ebay to complain. If it's happening in your state, contact your Attorney General.  #Covid_19 #pricegouging 
#ThursdayThoughts https://t.co/1u0No7rXMl",Positive
345,45595,Italy,12-03-2020,"I never believed that I would need to fill out a form, and have approval from the police, to give me permission to go to the supermarket. It's very surreal. It is now a penal crime to flout this law.#Covid_19 #italylockdown https://t.co/RX7Yo4mGLm",Negative
346,45596,"Edmonton, Alberta",12-03-2020,"Logic from a 6 year old..  Mom, why dont these people stock up on food, cause you wont really need toilet paper if you have nothing to eat ?????? #coronavirus #COVID19",Positive
347,45600,Connecticut,12-03-2020,Genuinely concerned about fellow retail workers and myself. Has ANYONE heard about mall/plaza/store closings? The amount of ppl and money I come in contact with every single day is gross. Go buy your shoes online. My health isnt worth your retail therapy #coronavirus,Negative
348,45601,"Bethlehem, PA",12-03-2020,@julianborger You can get a flu shot at the grocery store without your personal physician. Why not a #COVID2019 test?,Negative
349,45602,Offaly & Dublin,12-03-2020,Stock markets in freefall today due to #Covid_19 fears. Shares in Irish agri-food companies are down across the board. Kerry shares have fallen below 100 and Glanbia now down below 10 @farmersjournal #CoronavirusPandemic #COVID19ireland https://t.co/JjftteyQGe,Negative
350,45605,"Bloemfontein, South Africa",12-03-2020,When can I start stock piling weapons &amp; tin food? #Covid_19,Negative
351,45606,"St Louis, MO",12-03-2020,"Hygiene tip: if you need to go to the supermarket, instead of paying with a card and signing with the pen that everyone else in the market has touched, use @Apple Pay. I'm using it exclusively in an abundance of caution.

#Covid_19 #coronavirus #imbecomingagermophobe",Negative
352,45607,In the Sunshine State ,12-03-2020,"#Coronavirus has #Boomers stocking their Doomsday bunker while #Millenials are online shopping for bathing suits for their 5 island trip they just booked on Spirit for $120.
#CoronaVirusUpdate
#CoronavirusPandemic",Negative
353,45608,United States,12-03-2020,The new decorum in the grocery store. One person per aisle at a time please.  #Covid_19,Positive
354,45609,,12-03-2020,"1. A well-stocked supermarket.
2. The same supermarket just 2 minutes later.

Shopping is like a military operation at the minute.
#sainsburys #Aldi #morrisons #panicbuying #panicbuyinguk #CoronavirusPandemic #Covid_19 #coronavirusinUK https://t.co/hzRHmLf217",Positive
355,45610,"Berlin, Germany",12-03-2020,These are the shelves of and ordinary and normally well stocked supermarket #Berlin #Germany #hamsterkauf #coronadeutschland #Covid_19 https://t.co/ndQ7pYYcP8,Positive
356,45613,"Pulwama, Jammu And Kashmir",12-03-2020,"#Coronavirus Scare..
People say bye bye to Chinese food ..
Guests demand traditional wazwan instead of Manchurian, Friedrice, chowmin etc. etc.",Negative
357,45614,,12-03-2020,When you have to stock up on food because of the #CoronaVirus but you're broke https://t.co/srOAbqF6Or,Negative
358,45617,Mumbai,12-03-2020,".@LME_news #metals , #CrudeOil prices down 5%  as #USA  puts #europetravelban . @WHO labelled #Covid_19 a pandemic. Fiscal stimulus by several central banks has failed to soothe fears . #global #manufacturing , #industrial , #aviation hit. #commodity",Negative
359,45619,,12-03-2020,"How things shift in a few hrs! Things get real in T.O. as schools to shut down, big events cancelled.. and my brother just called from the local grocery store where there are massive line ups &amp; frayed tempers

Take care all, and let's do what we can to help each other! #Covid_19",Positive
360,45620,Canada,12-03-2020,Went to the grocery store for a few things I actually need and find the TP aisle empty but funny how the fuckin soap aisle is full.. #CoronavirusPandemic #Covid_19 #CoronaVirusUpdate #stupidfuckinpeople #panicbuying,Positive
361,45621,"Leesburg and Richmond, VA",12-03-2020,"Now that @GovernorVA has declared a state of emergency VA's price gouging protections are now in effect. If you see any exceptionally high prices for #coronavirus necessities let my office know. Price gouging will not be tolerated in VA

Learn more here?
https://t.co/3NfOD5zOYY",Negative
362,45624,London,12-03-2020,"Please ppl, I just want to do my normal evening food shopping, I dont want to queue for 30m+ just to get a bread and a can of corn, its not a zombie apocalypse we dont need to stock up on long life milk, and tins of fish...#coronavirus #panickbuyinguk #panic #panicbuyinguk",Positive
363,45626,"42.32118,-83.374406",12-03-2020,Ok grocery store no toilet paper and Target just a few packs no big deal am not panicking just making light of the situation here! #covid_19 #cov?d19 #virus #toiletpaper #toilet @target #survival #dontpanic #nocrowds #staystrong #poopless https://t.co/i9J1t5GN5H,Positive
364,45627,,12-03-2020,"Get concise Vision, Mission and Value Statements for your brand at affordable prices
#LOONA 
#Covid_19 
#ThursdayMotivation 
#TrumptheWorstPresidentEVER 
https://t.co/UToxZ1qHaZ",Positive
365,45628,"London, England",12-03-2020,"One of our elderly non Muslim neighbours is disabled and is unable to get out.

My family ordered their shopping online.

The Quran takes it as axiomatic that a society is judged by the way it treats the most vulnerable: the very young and the very old.

#coronavirus #COVID19.",Negative
366,45629,"Illinois, USA",12-03-2020,"@FoxNews @MSNBC @CNN 

Trump added $1 trillion to stock market today to save his campaign
Just think how many COVID-19 tests, sick leave,unemployment checks,food stamps&amp; hospital treatments that could have paid for
Shows you what trump&amp; GO",Negative
367,45631,"Chicago, IL",12-03-2020,"#StockMarketCrash2020 #Covid_19 @JPMorganAM ""large #SP500 selloffs historically followed by rebound w/in 6 mos if no #recession, which we do not expect given strength of US consumer...in history of #Pandemics, #equitymarkets tend to decline sharply &amp; then recover",Negative
368,45632,London,12-03-2020,"These were the different prices of #BTC across leading market data providers during todays dump... (11 am GMT) ? @CryptoCompare = $6267.12 
@CoinMarketCap = $6431.74
@coingecko = $6536.95
@NomicsFinance = $6091.00

Aggregated price = $6331.70 ?
#data #Crypto #Covid_19",Negative
369,45633,Las Vegas,12-03-2020,"@British_Airways  can u plz update ur policy regarding flights coming up in April. The charge to change is more than the tix prices.
Tickets purchased b4 the #Covid_19 outbreak, that has us flying LAS-London on April 4th and out of CDG-LAS on April 15th",Positive
370,45637,"Toronto, Ontario",12-03-2020,Looking to alleviate virus anxiety? Donate to local orgs like the @TheStopCFC who are providing essential services for folks who cant afford to stock up on food/Have been impacted by a loss of wages due to COVID-19. https://t.co/b3CcCaqG52,Negative
371,45638,"Ohio, USA",12-03-2020,@swissepi @FLAHAULT @StephaneCullati People arent getting the social distancing very well. Ready to start elbowing peeps at grocery store today even with no sneezing or coughing involved #coronavirus #CoronaOutbreak,Positive
372,45639,"Ontario, Canada",12-03-2020,Anyone or company who is jacking up prices or designing gimmick/novelty products to profit from #Covid_19 should be ashamed of themselves. #NotHelping,Negative
373,45640,,12-03-2020,Craziness at the #Zehrs grocery store here in #Barrie - no more #toiletpaper! #CoronavirusPandemic #CoronaOutbreak #Covid_19 - ??? I think people need to chill a bit! https://t.co/qqc2OsRhtO,Negative
374,45642,"Raleigh, NC",12-03-2020,If you are a healthy low risk person and live in a neighborhood or apartment complex consider offering to go to the grocery store or pharmacy for your high risk neighbors! #CoronavirusPandemic #coronavirus #COVD19,Negative
375,45645,Between humanity and milkyway ,12-03-2020,"The pandemia consumer needs &amp; spending hierarchy:
0?? health
1?? food and water
2?? energy
3?? information (&amp; technology) 
4?? mobility
5?? money (&amp; value)
6?? community
#Korona #koronavirus #Koronavirusfi #COVID2019 #Corona #CoronaOutbreak #CoronaVirusUpdate https://t.co/yiFVD0MWGf",Positive
376,45648,"Los Angeles, CA",12-03-2020,"So let me get this straight. This is just food for thought everyone. 

1. 1.5 TRILLION DOLLARS was just pumped into Wall Street to fight off the Stock Market Plummeting. 

2. #Covid_19 Is afflicting hundreds of thousands of lives and millions of jobs. 

Cont.",Negative
377,45650,London | ?????? | Cairo,12-03-2020,Our supermarket ran out of alcohol hand-sanitiser so I had to improvise #Covid_19 https://t.co/wym1fNMkpx,Positive
378,45651,"Islamabad, Pakistan",12-03-2020,"First, oil prices falling off a cliff offers an opportunity to reduce the import bill. 

Second, as CA/fiscal pressures ease, the allure of lowering taxes/duties must be resisted. #Covid_19 impact will require fiscal space. Relief must be  through budgetary measures. 

5/7",Positive
379,45652,UK,12-03-2020,"#CoronavirusPandemic
#Covid_19
#CoronaVirusUpdate
#panicbuying
ASDA SUPERMARKET IN EDINBURGH HAS 
NO TOILET ROLL. https://t.co/vZNLulKu5z",Negative
380,45655,Ghana,12-03-2020,"As #Covid_19 Hit Ghana dierrr , I for start dey stock my room plus food ooo . No more going out . Shiiit ?
#CoronaVirusUpdate 
#CoronaOutbreak https://t.co/bhmgLC98kB",Negative
381,45656,,12-03-2020,Doing online food shopping is just as stressful as going to the shop ????? #CoronaVirus just want to be able to buy my essentials,Negative
382,45657,Colombo ,12-03-2020,"When you stock up kilos and kilos of goods and empty supermarket shelves, please think about the people who live on a daily wages. They will not have the ability to stock up food like you and they will be hit the hardest by unnecessary panic buying #CoronaOutbreak #coronavirus",Negative
383,45658,,12-03-2020,"There´s a pandemic around the World and what the good old portuguese do??? Half buy the whole supermarket, the other half goes to the beach...It´s a World going mad!!!?#Covid_19 (photos from yesterday!!!) https://t.co/VXZpbemGay",Negative
384,45663,210,12-03-2020,My right wing coo coo father in law was telling my conservative hubby to stock up on bullets and 2 weeks worth of food. For when the gangs come looking for food. Like ffs my anxiety is already thru the roof can yall chill tfuck out!? #Covid_19,Negative
385,45664,"Bangor, Northern Ireland",12-03-2020,"Please also be nice to retail staff!!!

They're under incredible pressure trying to keep up with demand while providing polite customer service!

They don't set prices - they can't get stock as quick as they're going out the door while people are panic buying!
#BeKind #Covid_19 https://t.co/WQRuoXVkde",Negative
386,45666,Calgary,12-03-2020,"Since a few people asked, yes I do sell my prints. They are at https://t.co/EMs1vyuorW. And just because, I made up this ironic discount code for you. Use 'CV19' for 19% off the price of prints.",Positive
387,45667,"Bensalem, PA",12-03-2020,"Off to do my #Coronavirus shopping. 

We are getting word that a shut down may be imminent in my county in PA.

So off to stock up on comfort food.",Positive
388,45670,DC / Mid-Ohio Valley,12-03-2020,"@1a My mom back home has major respiratory issues, and my brother who lives with her works at a grocery store, where he regularly deals with the public. If I can afford to cover the lost income, is it advisable for to him to quit/take leave from the job w",Negative
389,45673,"Vancouver, British Columbia",12-03-2020,@StephenPunwasi Let me know when to prepare to panic https://t.co/EKM6X7yQ9R,Negative
390,45675,"California, USA",12-03-2020,"Apple Store locations have received new directives to help curb the spread of CoronaVirus

https://t.co/46tCcgwOug

#Apple #AppleStore #retail #health #directives #infection #CoronaVirus #pandemic",Positive
391,45676,,12-03-2020,I think the @nba postponing the season just kicked off the official panic button in this country. Heading to wal mart now. Stock up people! Food is about to look like the toilet paper aisles!!!! #coronavirus #covid19 #pandemic,Negative
392,45677,Worldwide,12-03-2020,"US trucking has yet to face any major restrictions on travel, and unexpectedly getting better rates. With the spread of the virus becoming more worrisome, consumer hoarding is increasing demand for dry van equipment. 
#Covid_19 #trucking #demand
https://t.co/DtySZQ7pZI",Negative
393,45678,"Boston, MA",12-03-2020,"Make sure you stock up on non-perishables! 

&lt;Leaves grocery store with milk, cheese, yogurt, fruit, and vegetables&gt; #Covid_19",Positive
394,45679,,12-03-2020,Well done to everybody who has finished most of the stock at supermarkets ? now be ready for inflated prices for your next panic buying situation... This is what they wanted and you gave them exactly that! #CoronavirusPandemic #CoronaVirusUpdate #Covid_19,Positive
395,45680,,12-03-2020,"Anyone actually given a thought to people who work in food retail during this #Covid_19 #CoronavirusPandemic ? Whilst schools and events are being closed, people still have to shop, colleagues still have to work to provide stock for customers. Supermarkets wont close though.....",Positive
396,45681,"Pennsylvania, USA",12-03-2020,"This isnt a panic tweet but the #Covid_19 has reached where Im living. I have extra food and supplies, so hopefully everything is alright. Anyone else in this situation, stay safe and stay rational. Be cautious and aware, but dont panic and overreact. ?? #DenieroInc",Positive
397,45687,,12-03-2020,Ya ll the really is the MVP for us students Today they got extra shipments of food so students can stock up to prep for It s good nutritious food too,Positive
398,45688,,12-03-2020,How far out can I book a flight to Tokyo? Going next May and I want these prices...#Covid_19 #Japan,Positive
399,45689,"Dublin, Ireland",12-03-2020,"Important point on the panic buying.

Lots of images of empty shelves doing the rounds on social media.

The shelves will be re-stocked tomorrow. Italy is actually in lockdown, and supermarkets are still operating fine.

There will be food. Breathe. #Covid_19 https://t.co/tAJT0yMLG1",Negative
400,45693,"Vancouver, Canada",12-03-2020,"My thoughts right now: 

I keep hearing about people who think its a good idea to take advantage of low airplane ticket prices caused by #Covid_19 to travel the world right now......and at the risk of sounding preachy, I have to reiterate this quote from @JustinTrudeau",Positive
401,45695,the future (but really now),12-03-2020,in the grocery store with @OzzyOsbourne and @BlackSabbath screaming through the speakers with a bunch of empty shelves and people running around grabbing 8 cases of water. oh and sports are #cancelled. This is my #Apocalypse #Covid_19,Negative
402,45696,"London, New York",12-03-2020,"#Coronavirus has affected online shopping, travel, event cancellations, and it's now impacting #digitalmarketing. 
?
Online marketers: it's time to deliver factual information, prioritise relevant content &amp; reach target audiences  wherever they may be.

#COVID19UK #SARSCoV2 https://t.co/yGNOuodTnT",Negative
403,45699,Athlone,12-03-2020,"First time in a supermarket this week, and there was not a roll of toilet paper to be seen.... I wonder if people didn't clean their asses before the #Covid_19 https://t.co/Xz1ETr5iSw",Positive
404,45700,"Firenze, Toscana",12-03-2020,"@bigeasy1156 @CK557755 @don_1312 @CNN the virus no longer needs to fly when it has reached all cities in USA from Cost to Cost.  Now Virus can walk comfortably on men's legs to do his job (at the stadium, supermarket, cinema, ..).  Local measures are need",Positive
405,45702,Somewhere in Poland,12-03-2020,"We used to laugh at Demolition Man ?

#Coronavirus https://t.co/2t2Rgs1nff",Positive
406,45703,,12-03-2020,"I've been predicting a nightmare for awhile. Today, it felt like everyone else just woke up to it (if the supermarket lines were any indication). I've been living in this headspace for weeks, but now that I have company, I have to admit, it's freaking me out even more. #Covid_19",Negative
407,45704,"Cork, Ireland",12-03-2020,"In the midst of the panic shopping about to happen; if youre doing your grocery shopping online and getting it delivered, be patient and nice with your delivery driver. Tip them. Be sound. This weekend is going to be busier than Christmas for them. #Covid_19",Negative
408,45705,"New York, NY",12-03-2020,Coming back from the grocery store like... #CoronavirusPandemic #Covid_19 #lockdown https://t.co/9AW8hDr8Mo,Positive
409,45707,Ireland,12-03-2020,Let's remember to leave something for those who really need it... #COVID2019IRELAND https://t.co/ZOVpu2lhAv,Negative
410,45710,"Pennsylvania, USA",12-03-2020,@DazzyJinzo Yes it is. I was in the grocery store earlier. It was a fucking stampede and the shelfs are clearing. #CoronavirusPandemic #CoronaVirusUpdate #Covid_19,Negative
411,45711,"Calgary, Alberta",12-03-2020,We are temporarily suspending all Howler and Growler fills to minimize the opportunity for the spread of the COVID-19. We will continue to fill Howlers and Growlers that are purchased from our in-house retail store.,Positive
412,45715,"Bend, OR",12-03-2020,"I went to the grocery store this afternoon. As I was walking in I heard a woman yell to me from her car. I walked over and found an elderly woman and her husband. She cracked her window open a bit more, and explained to me nearly in tears that they are afraid to go in the store.",Negative
413,45717,"Scottsdale, AZ",12-03-2020,Democrats pushing hard for #PaidSickLeave paid for by your employer who in turn lowers wages and raises prices to pay for Democrat communism. #Covid_19 #HorseShitLiarDemocrats #DemocratsHateAmerica #ThursdayThoughts #FightDemocrats #FakeNews,Negative
414,45719,"East Coast, USA",12-03-2020,Instacart and DoorDash now offer paid sick leave for workers diagnosed with COVID-19 https://t.co/0gYrJqKCDE The Verge - via @retailwire #retail #CoronaVirusUpdates @Instacart @DoorDash https://t.co/PeqLQhaPDv,Negative
415,45720,United States,12-03-2020,"@LaurynnnG Yeah. I've seen eggs, milk &amp; Lysol wipes being sold out at grocery store due 2 #Covid_19. Folks have gone nuts 2 &amp; they need 2 calm down. This isn't the black plague.",Positive
416,45721,"England, United Kingdom",12-03-2020,"Has anyone in #Cardiff or #SouthWales had their food delivery affected by #coronavirus #panicbuying?

Perhaps yours was cancelled, the website had no stock, or some items didn't come with the rest of your order?

Please reply, DM or email me rhiannon.c.moore@icloud.com.
#covid19",Negative
417,45722,Scottish Borders,12-03-2020,"@BriSmithy Was always about damage limitation,the self serving newly elected government dragging their heels lower than share prices.Lets hope common decency prevails to help others deal with the pandemic....Suddenly nobody remembers Brexit?..#inthistog",Positive
418,45723,"Logan, UT",12-03-2020,@Disney What would it take for my family to pay movie ticket prices and watch this at home to avoid the #Covid_19 ? Happy to pay the $$$s.,Positive
419,45725,,12-03-2020,Just so were clear the gas prices arent related to #Covid_19 but definitely are related to the global economic crash,Positive
420,45726,Pittsburgh Pennsylvania,12-03-2020,"I may be naive, but are food hoarding and selling off stock really helping the situation? #CoronavirusPandemic #Covid_19",Positive
421,45727,,12-03-2020,My mom just called and told me to go stock up on some food and medicine essentials because I live in a major city that will likely be hit the hardest by COVID-19. I'm getting a little worried now.,Negative
422,45729,"Dallas, TX",12-03-2020,Who else woke up today thinking about the #coronavirus is it time to panic? And stock up on food and goods?????,Negative
423,45730,Wurundjeri Country,12-03-2020,Wondering if therell be anything on supermarket shelves by the time we have money again. Most worried about getting enough food for the cats. Since we get paid monthly I suspect ppl will think were #hoarding. That should be fun! #PanicBuying #Covid_19 #CoronavirusPandemic #sigh,Negative
424,45731,Philadelphia and Provincetown,12-03-2020,"Why does the @washingtonpost have such shitty opinion writers? One of them (@asymmetricinfo ) actually said the #Covid_19 #coronavirus epidemic wont be too bad in the US because we have wide supermarket aisles. Apparently we dont have big cities, just suburbs.",Negative
425,45733,London,12-03-2020,"Life in the time of #Corona: Two people in a London supermarket, spotted arguing over the last packet of pasta. There were other pasta brands still on the shelf, but they both wanted that particular one. #CoronavirusPandemic #CoronaVirusUpdate #coronavirus #Covid_19 #COVID2019uk",Negative
426,45734,,12-03-2020,The USDA has a pilot program in 5 states for food stamp recipients to use online grocery shopping &amp; delivery. Vulnerable elderly &amp; handicapped people wouldnt have to risk Covid 19 exposure if this was implemented nationwide NOW!,Negative
